tau,tpr,fpr
0.0,0.05,0.0019255455712451862
8.268188152493648e-05,0.075,0.0019255455712451862
0.010917974169535946,0.075,0.003209242618741977
0.012565989558285319,0.075,0.004492939666238768
0.013101569003443137,0.075,0.005134788189987163
0.01320078726127306,0.075,0.005776636713735558
0.02233249509540075,0.075,0.006418485237483954
0.02305247446581755,0.1,0.006418485237483954
0.023099640396086325,0.1,0.007060333761232349
0.02348396372782126,0.1,0.00834403080872914
0.026203138006886274,0.125,0.012836970474967908
0.03649920977711057,0.125,0.013478818998716302
0.03667122447627166,0.125,0.014120667522464698
0.03964777497634811,0.125,0.014762516046213094
0.03990056311792404,0.125,0.01540436456996149
0.04477854398722917,0.125,0.016046213093709884
0.04534945360996214,0.125,0.01668806161745828
0.046152252184851805,0.125,0.017329910141206675
0.04959947323147821,0.125,0.01797175866495507
0.05016499615053294,0.15,0.01797175866495507
0.054031566230233925,0.175,0.01797175866495507
0.05636151294677103,0.175,0.018613607188703467
0.05711682711124221,0.175,0.019255455712451863
0.059207111942505324,0.2,0.019255455712451863
0.0633065031938878,0.2,0.01989730423620026
0.06444567696814078,0.2,0.02053915275994865
0.06596926700055973,0.2,0.021181001283697046
0.06796217732362968,0.2,0.021822849807445442
0.0683503167972389,0.2,0.022464698331193838
0.0708757463227953,0.2,0.023106546854942234
0.07138412792653867,0.2,0.02374839537869063
0.07211698026492495,0.2,0.024390243902439025
0.07290830520478417,0.2,0.02503209242618742
0.07371563574892737,0.2,0.02631578947368421
0.07431707298320285,0.2,0.026957637997432605
0.07536365113767673,0.2,0.027599486521181
0.07688724117009567,0.2,0.028241335044929396
0.0777286828607451,0.225,0.028241335044929396
0.07881759922000932,0.225,0.028883183568677792
0.07912418518954709,0.225,0.03080872913992298
0.07998070619624914,0.225,0.031450577663671375
0.08112411326543485,0.225,0.03273427471116817
0.0844856969299818,0.225,0.03337612323491656
0.08523504715273879,0.225,0.03401797175866496
0.08934745561747738,0.225,0.03465982028241335
0.09028996068635213,0.25,0.03465982028241335
0.09094505840360396,0.25,0.03530166880616174
0.09184810901896175,0.275,0.03530166880616174
0.09431545328637149,0.275,0.03594351732991014
0.09507555453542167,0.3,0.03594351732991014
0.09758726593342495,0.3,0.036585365853658534
0.09836060117694602,0.3,0.037227214377406934
0.09843075218316695,0.3,0.037869062901155326
0.09957072604540766,0.3,0.03915275994865212
0.1010672622620159,0.3,0.03979460847240052
0.10363646316445574,0.3,0.0410783055198973
0.10394556083752873,0.3,0.0417201540436457
0.10638415487789939,0.3,0.04236200256739409
0.10651031860076961,0.3,0.04300385109114249
0.10819725772028237,0.3,0.043645699614890884
0.11019828706876492,0.3,0.044287548138639284
0.11287487433692396,0.3,0.045571245186136075
0.11291239308861789,0.3,0.04621309370988447
0.11417191051787191,0.3,0.04685494223363286
0.11488467011403583,0.3,0.04749679075738126
0.11658380259827002,0.3,0.04813863928112965
0.11759794345572214,0.3,0.04878048780487805
0.11773527123069054,0.3,0.04942233632862644
0.11895014443618472,0.3,0.050706033376123234
0.1207301704187923,0.3,0.051347881899871634
0.12123686456572505,0.325,0.051347881899871634
0.12218370930218096,0.325,0.051989730423620026
0.12241145413852643,0.325,0.055198973042362
0.12286679737741268,0.325,0.0558408215661104
